  PID TTY      STAT   TIME COMMAND
 1397 ?        Ssl    0:00 /usr/sbin/gdm3
 1409 ?        Sl     0:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
 1426 ?        Sl     0:00 gdm-session-worker [pam/gdm-autologin]
 1458 ?        Ss     0:00 /lib/systemd/systemd --user
 1459 ?        S      0:00 (sd-pam)
 1472 ?        SLl    0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 1476 tty1     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1478 tty1     Sl+    0:37 /usr/lib/xorg/Xorg vt1 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
 1486 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1489 tty1     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 1588 ?        S      0:00 /usr/bin/VBoxClient --clipboard
 1589 ?        Sl     0:00 /usr/bin/VBoxClient --clipboard
 1598 ?        S      0:00 /usr/bin/VBoxClient --display
 1600 ?        S      0:00 /usr/bin/VBoxClient --display
 1604 ?        S      0:00 /usr/bin/VBoxClient --seamless
 1607 ?        Sl     0:00 /usr/bin/VBoxClient --seamless
 1610 ?        S      0:00 /usr/bin/VBoxClient --draganddrop
 1611 ?        Sl     0:09 /usr/bin/VBoxClient --draganddrop
 1626 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1632 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1637 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1639 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1665 tty1     Sl+    2:00 /usr/bin/gnome-shell
 1671 ?        Ssl    0:00 /usr/lib/upower/upowerd
 1683 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd
 1688 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1699 ?        S<l    0:00 /usr/bin/pulseaudio --start --log-target=syslog
 1700 ?        SNsl   0:00 /usr/lib/rtkit/rtkit-daemon
 1738 tty1     Sl     0:03 ibus-daemon --xim --panel disable
 1743 tty1     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1745 tty1     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 1749 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
 1750 ?        Sl     0:00 /usr/lib/ibus/ibus-portal
 1762 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 1768 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 1774 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 1776 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/boltd
 1783 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 1789 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 1793 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1798 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1808 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-identity-service
 1809 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 1816 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1820 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 1821 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1823 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1825 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1829 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1838 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1842 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1848 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1851 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 1857 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1861 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1866 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-color
 1867 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1868 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1869 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1870 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1878 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1898 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-printer
 1918 tty1     Sl+    0:00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 1925 tty1     Sl+    0:01 nautilus-desktop
 1957 ?        Ssl    0:00 /usr/lib/colord/colord
 1958 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.22 /org/gtk/gvfs/exec_spaw/0
 1978 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 2000 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1978x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1978/2
 2003 tty1     Sl     0:01 /usr/lib/ibus/ibus-engine-simple
 2016 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 2026 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx2016x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/2016/2
 2046 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 2104 tty1     SLl+   0:06 /usr/bin/gnome-software --gapplication-service
 2106 tty1     Sl+    0:00 update-notifier
 2130 ?        Ssl    0:00 /usr/lib/fwupd/fwupd
 3113 tty1     Sl+    0:00 /usr/lib/deja-dup/deja-dup-monitor
12243 ?        I<     0:00 [xfsalloc]
12248 ?        I<     0:00 [xfs_mru_cache]
12257 ?        S      0:00 [jfsIO]
12258 ?        S      0:00 [jfsCommit]
12259 ?        S      0:00 [jfsCommit]
12260 ?        S      0:00 [jfsCommit]
12261 ?        S      0:00 [jfsCommit]
12262 ?        S      0:00 [jfsSync]
12781 ?        Ss     0:00 /usr/sbin/cupsd -l
12782 ?        Ssl    0:00 /usr/sbin/cups-browsed
12835 ?        I      0:00 [kworker/1:0-eve]
12860 tty1     Sl+    1:21 /usr/lib/firefox/firefox -new-window
12925 tty1     Sl+    0:02 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 220368 -parentBuildID 20200708170202 -appdir /usr/lib/firefox/browser 12860 true tab
